id,value
flare,
flare.angry,
flare.angry.EasternTime(US&Canada),37
flare.angry.CentralTime(US&Canada),23
flare.angry.PacificTime(US&Canada),186
flare.angry.Quito,10
flare.angry.AtlanticTime(Canada),7
flare.angry.London,18
flare.angry.Athens,6
flare.angry.Bucharest,2
flare.angry.WestCentralAfrica,2
flare.angry.CentralAmerica,1
flare.angry.NewDelhi,3
flare.angry.Hawaii,17
flare.angry.Greenland,11
flare.angry.Amsterdam,5
flare.angry.Casablanca,4
flare.angry.Arizona,3
flare.angry.Bern,2
flare.angry.Taipei,1
flare.angry.Paris,2
flare.angry.Madrid,1
flare.angry.America/New_York,2
flare.angry.Dublin,1
flare.angry.Bangkok,1
flare.angry.Monterrey,1
flare.angry.Islamabad,1
flare.angry.Alaska,1
flare.angry.MountainTime(US&Canada),4
flare.angry.Belgrade,1
flare.angry.Edinburgh,3
flare.angry.Mumbai,1
flare.angry.HongKong,1
flare.angry.KualaLumpur,1
flare.angry.Tokyo,1
flare.angry.Asia/Calcutta,1
flare.angry.Berlin,2
flare.angry.MexicoCity,1
flare.angry.Asia/Makassar,1
flare.angry.Melbourne,1
flare.angry.America/Denver,1
flare.angry.Europe/Paris,1
flare.satisfied,
flare.satisfied.PacificTime(US&Canada),272
flare.satisfied.WestCentralAfrica,1
flare.satisfied.Berlin,4
flare.satisfied.Taipei,1
flare.satisfied.Monterrey,1
flare.satisfied.CentralTime(US&Canada),5
flare.satisfied.Caracas,1
flare.satisfied.EasternTime(US&Canada),10
flare.satisfied.London,9
flare.satisfied.Riyadh,1
flare.satisfied.Jakarta,1
flare.satisfied.Casablanca,1
flare.satisfied.Alaska,1
flare.satisfied.Brussels,2
flare.satisfied.Beijing,2
flare.satisfied.America/Los_Angeles,1
flare.satisfied.Arizona,1
flare.satisfied.NewDelhi,1
flare.satisfied.AtlanticTime(Canada),3
flare.satisfied.Hawaii,3
flare.satisfied.KualaLumpur,1
flare.satisfied.Belgrade,2
flare.satisfied.Quito,2
flare.satisfied.MountainTime(US&Canada),1
flare.satisfied.HongKong,1
flare.satisfied.Amsterdam,1
flare.satisfied.Kyiv,1
flare.satisfied.Cairo,1
flare.satisfied.Seoul,1
flare.love,
flare.love.PacificTime(US&Canada),34609
flare.love.Dublin,533
flare.love.EasternTime(US&Canada),10084
flare.love.Athens,1584
flare.love.Istanbul,447
flare.love.London,4950
flare.love.InternationalDateLineWest,249
flare.love.Amsterdam,1998
flare.love.Chennai,390
flare.love.CentralTime(US&Canada),5078
flare.love.Santiago,529
flare.love.Alaska,625
flare.love.Stockholm,1026
flare.love.Bogota,178
flare.love.Caracas,219
flare.love.BuenosAires,299
flare.love.Bucharest,119
flare.love.Arizona,823
flare.love.Quito,1186
flare.love.KualaLumpur,256
flare.love.Fiji,131
flare.love.Greenland,493
flare.love.Kolkata,91
flare.love.Brasilia,893
flare.love.Paris,764
flare.love.Riyadh,122
flare.love.MountainTime(US&Canada),1285
flare.love.Islamabad,56
flare.love.AtlanticTime(Canada),1370
flare.love.Pretoria,143
flare.love.Casablanca,327
flare.love.Tokyo,540
flare.love.Baghdad,211
flare.love.Asia/Makassar,40
flare.love.Ljubljana,207
flare.love.Singapore,215
flare.love.Tijuana,155
flare.love.Berlin,337
flare.love.Madrid,885
flare.love.Belgrade,434
flare.love.Seoul,198
flare.love.Mumbai,145
flare.love.America/New_York,210
flare.love.Hawaii,686
flare.love.CentralAmerica,88
flare.love.America/Detroit,18
flare.love.Melbourne,113
flare.love.Sydney,198
flare.love.Vienna,42
flare.love.MexicoCity,474
flare.love.Moscow,76
flare.love.Beijing,268
